text,occurrence,label
Thomson,981,Omission
Ledermann,351,Omission
a man,286,Omission
Beale,220,Omission
Beatty,146,Omission
Lady Thomson,79,Omission
two men,77,Omission
men,77,Omission
group of men,43,Omission
Thurstone,38,Omission
an Indian man,38,Omission
Auerbach,33,Omission
Bartlett,32,Omission
Wilmut,28,Omission
a woman,25,Omission
Levison,25,Omission
Koestler,24,Omission
Burt,23,Omission
three men,21,Omission
Mrs Kennedy-Fraser,21,Omission
Mamaine,21,Omission
Burns,20,Omission
Hector,20,Omission
Spearman,19,Omission
another man,19,Omission
colleagues,19,Omission
Janine,19,Omission
Corson,18,Omission
his wife,18,Omission
women,17,Omission
others,17,Omission
Pilliner,17,Omission
Walker,17,Omission
Sang,17,Omission
Greenwood,16,Omission
Gifford,16,Omission
Wagner,16,Omission
McWilliam,15,Omission
Mrs McInnes,15,Omission
Waddington,15,Omission
Jackson,13,Omission
Peace Family,13,Omission
people,13,Omission
Henderson,13,Omission
Man,13,Omission
Neyman,12,Omission
Robson,12,Omission
Eva,12,Omission
Aitken,12,Omission
Scott,11,Omission
Pearson,11,Omission
four men,11,Omission
Mozart,11,Omission
Lawley,11,Omission
Baillie,10,Omission
several men,10,Omission
Mrs Norman Macleod,10,Omission
unidentified men,10,Omission
Alan,10,Omission
Mrs Kennedy Fraser,10,Omission
Descartes,10,Omission
Napoleon,9,Omission
a group of men,9,Omission
children,9,Omission
Easton,9,Omission
"Deller, Dr",9,Omission
Men,9,Omission
a man standing next to it,8,Omission
Geller,8,Omission
boys,8,Omission
Mrs Macdonald,8,Omission
Misses Kennedy,8,Omission
a boy,8,Omission
Peace children,8,Omission
collaborators,8,Omission
Father Allan,8,Omission
Hotelling,8,Omission
et al,8,Omission
"Deller, Dr.",8,Omission
young dark-haired woman,8,Omission
Mrs Cameron,8,Omission
Yolanda,8,Omission
Mrs Maclean,8,Omission
group of people,8,Omission
Peter,8,Omission
Lady Jackson,8,Omission
Wolfenden,7,Omission
Kennedy siblings,7,Omission
Roberts,7,Omission
Prince of Wales,7,Omission
two Indian men,7,Omission
with his parents,7,Omission
his father,7,Omission
Geddes,7,Omission
cowboys,7,Omission
a cowboy,7,Omission
Wallace,7,Omission
two unidentified men,7,Omission
Cattell,6,Omission
Uri,6,Omission
Thorndike,6,Omission
Fisher,6,Omission
unidentified man,6,Omission
Dr Greenwood,6,Omission
Cornelius,6,Omission
Mary,6,Omission
Children,6,Omission
"Heller, Dr",6,Omission
his mother,6,Omission
Indian man,6,Omission
Katherine,6,Omission
Duke of Bedford,6,Omission
Spinoza,6,Omission
John,6,Omission
Heywood,6,Omission
Heckmann,6,Omission
Mancini,6,Omission
Feynman,6,Omission
Jim,6,Omission
Jensen,6,Omission
Lenin,6,Omission
woman,6,Omission
Mandel,5,Omission
Kate,5,Omission
Lord Cameron,5,Omission
Jameson,5,Omission
Kelley,5,Omission
Alexander,5,Omission
Manci,5,Omission
Fredga,5,Omission
Miss Tolmie,5,Omission
Cromwell,5,Omission
Mrs Macdougall,5,Omission
an unidentified man,5,Omission
Shakespeare,5,Omission
Yevonde,5,Omission
Henry,5,Omission
his daughter,5,Omission
