,note,associated_genders,text,id
0,,Masculine,"['Also in 1896 he married Ellen Milne McCulloch.', 'men', '""Beauty Prizewinner"" shows Miss Elizabeth Heitmuller who was awarded the £400 golden apple', 'men', 'men']","[4913, 52151, 52289, 53472, 59241]"
1,,Multiple,"['Letters to Florence Jewel Baillie from her mother, Florence Fowler, covering personal, family and social matters']",[1205]
2,,Unclear,['a man'],[57896]
3,"""he had his sons"" rather than ""they had their sons,"" as if the sons belong to the father and not the mother",Multiple,"['married Annie Macpherson, by whom he had his sons John, Donald Macpherson and Peter']",[3447]
4,"a woman ""acted as"" rather than was a clinical clerk, despite all the qualifications listed for her",Multiple,['acted as a'],[13554]
5,"a woman's role simply defined in relation to her husband (""as his wife"") rather than having a role in her own right",Multiple,"[""Following John Baillie's appointment as Moderator of the General Assembly of the Church of Scotland in 1942, Florence Jewel Baillie attended Assembly and related events and meetings as his wife""]",[4208]
6,"assumption of male as default - women's diseases need their own subject, but not men's diseases",Multiple,['Diseases of Women'],[44023]
7,"assumption of male as default; diseases specific to women need to be called out (more information needed, but likely there wasn't a ""diseases of men"" class)",Multiple,['Diseases of Women'],[23361]
8,assumption that the woman's role in reproduction is to be a vessel,Multiple,['by whom he had his sons'],[3449]
9,attire associated with only one gender (women),Feminine,['a woman in a bikini'],[68272]
10,attire associated with only one gender (women),Multiple,['the dress worn by women'],[60022]
11,binary gender,Multiple,['male and female'],[51993]
12,biographical information for a woman only about her family,Multiple,"['Florence Jewel Baillie corresponded extensively with members of the extended Fowler and Pearse families and with many friends and associates throught her life. Family included, in particular, her father and mother (Richard and Florence Fowler) her sister Mai.']",[3978]
13,blaming difficulty keeping career going on being a young woman with children,Multiple,['As a young married woman with two small children - Kathleen and Margaret - she found it difficult to keep her medical career going'],[13659]
14,can one really say from looking at a photograph that all five people are females?,Multiple,['five unidentified females'],[14480]
15,can one really say from looking at a photograph that the people depicted are females?,Multiple,['female'],[14956]
16,can we really determine gender from a photograph?,Feminine,['woman'],[7454]
17,can we really say gender of a person based on a photograph?,Feminine,['woman'],[16189]
18,can we really say gender of a person based on a photograph?,Masculine,"['man', 'men', 'men', 'men', 'man', 'man', 'man', 'men', 'man']","[16032, 16048, 16058, 16064, 16073, 16177, 16212, 16226, 16233]"
19,can we really say sex of a person based on a photograph?,Masculine,['males'],[14799]
20,can we really say sex of a person based on a photograph?,Multiple,"['female', 'female', 'female', 'females']","[14645, 14651, 14791, 16166]"
21,chair named after man,Unclear,['Sir William Fraser Chair'],[49789]
22,"collection of a single person, presumably a man, referred to by person's last name",Masculine,"['The Sprigge collection', 'The Sprigge collection']","[25256, 25278]"
23,"couldn't jewel have had the same interests as her husband, rather than taking an interest in his interests?  more information needed",Multiple,"[""Jewel took an active interest in her husband's work, accompanying when he travelled, sitting on charitable committees, looking after missionary furlough houses and much more. She also wrote a preface to his Baptism and Conversion and a foreward to his A Reasoned Faith""]",[3755]
24,demeaning description of woman,Feminine,['A Pretty Equestrienne'],[51069]
25,demeaning towards women,Feminine,['Bringing a Harem to Texas'],[53977]
26,derogatory description of woman,Multiple,['Mrs Hart spends guineas on dross and marks it in her book for education'],[27456]
27,derogatory language,Unclear,['Woman Hater'],[51077]
28,derogatory phrase,Unclear,['Woman Hater'],[53513]
29,diminutive/nickname for woman's first name,Feminine,"['Lotte', 'Lotte']","[31698, 31723]"
30,"diseases of females need to be called out into separate class, rather than worked into all classes",Multiple,['Diseases peculiar to Females'],[25537]
31,excessive feminization,Unclear,"['Negrette', 'authoress']","[59470, 77130]"
32,"excessive feminization, assumption of male default",Multiple,['Shepherdess'],[12094]
33,"excessive feminization, assumption of male defaults",Masculine,['Instructresses'],[14428]
34,expectation of what a young lady of this period would read,Multiple,['not normally associated'],[49496]
35,family described as belonging to a man,Masculine,['the family of Robert Nutter Campbell'],[27476]
36,family described as belonging to a single person who is presumably a man,Unclear,['family of'],[47700]
37,"father named first, mother second, despite her superior historical and contextual importance",Multiple,"[""daughter of lawyer Dr. Richard Pankhurst and women's suffrage movement leader Emmeline Pankhurst""]",[77186]
38,female labour on behalf of husband goes unpaid and not properly credited,Multiple,"[""Jewel took an active interest in her husband's work, accompanying when he travelled, sitting on charitable committees, looking after missionary furlough houses and much more""]",[3753]
39,female parent prioritised,Multiple,"['her three sons, John, Donald Macpherson and Peter', 'her unmarried son, Donald']","[4123, 4145]"
40,focus on woman's sexuality,Feminine,['Virgin'],[47857]
41,form of address characteristic of male homosocial group bonding,Masculine,['The Very Rev Prof James Whyte'],[0]
42,g,Masculine,['men'],[15148]
