,description,field,desc_id,label,eadid
8054,"Professor James Aitken White was a leading Scottish Theologian and Moderator of the General Assembly of the Church of Scotland. He was educated at Daniel Stewart's College and the University of Edinburgh where he studied philosophy and divinity. After his ordination he spent three years as an army Chaplain and then in 1948 was inducted to Dunollie Road Church in Oban. James Whyte moved to Mayfield North Church in Edinburgh in 1954 and in 1958 was appointed to the chair of practical theology and Christian ethics at the University of St Andrew's where he remained until 1987. His primary interests were in liturgy and ecclesiastical architecture and he also lectured on pastoral care.
James Whyte was called upon to preach at the memorial service for the victims of the Lockerbie disaster on 4th January 1989. The service was relayed around the world and was widely cited in the press having had a great impact. The full text of this sermon was published in Laughter and Tears: Thoughts on Faith in the Face of Suffering (Edinburgh, St Andrew's Press, 1993).",Biographical / Historical,0,"{'Occupation', 'Stereotype', 'Masculine', 'Gendered-Pronoun'}",AA5
5560,"Papers of The Very Rev Prof James Whyte (1920-2005)

",Title,1,"{'Stereotype', 'Masculine', 'Unknown'}",AA5
8321,"Rev Thomas Allan was born on 16 August 1916 in Newmilnes, Ayrshire to William and Agnes. He was educated at Newmilnes Primary School and Kilmarnock Academy before going on to graduate from the University of Glasgow with a first class honours degree in English Literature. In 1945, following a number of years war service in the RAF he entered Trinity Theological College, Glasgow and was ordained a minister of the Church of Scotland in 1946.
In 1941 Tom Allan married Jane Moore and they had three children, Margaret Elizabeth, William Thomas and Kenneth John.
Rev Tom Allan's first charge was North Kelvinside Church in Glasgow and he served here until 1953 when he left to join the ""Tell Scotland"" movement. Tell Scotland started as a result of two Scottish radio missions of the BBC in which leading preachers of several denominations combined in a nation wide evangelistic drive. In 1953 the ""Tell Scotland"" committee was formed and Rev Tom Allan was appointed evangelistic organiser. He became a key figure in the Scottish evangelical movement of the mid-20th century and travelled extensively throughout Britain in his capacity as evangelist for the Church of Scotland. In 1955 when Billy Graham held his 'All Scotland Crusade', Tom Allan was Chairman of the organizing committee.
In 1955 Rev Tom Allan accepted a call to become minister of St George's-Tron Parish Church in Glasgow and he served here until 1964 when he had to retire on the grounds of ill health. In 1955 Rev Allan held youth rallies at St George's-Tron which proved so popular that accommodation problems were experienced. The services were consequently relayed to churches filled by overflow audiences and by April 1956 five churches were involved and a total of 4,500 tickets were issued on one night.
Following a heart attack in 1964 Tom Allan requested demission (or resignation) from St George's Tron. He later died on the 8th September 1965.",Biographical / Historical,2,"{'Gendered-Pronoun', 'Stereotype', 'Unknown', 'Masculine', 'Omission', 'Generalization', 'Occupation', 'Feminine'}",AA6
5550,"Papers of Rev Tom Allan (1916-1965)

",Title,3,"{'Masculine', 'Unknown'}",AA6
633,"Alec Cheyne was born on 1 June 1924 in Errol in Perthshire, son of the Reverend Alexander Cheyne, United Free Church Minister of Errol, and Catherine Anna Campbell. His sister Mona was born in 1925 and brother George in 1927. He was educated at Kirkcaldy High School before going on to Edinburgh University where he graduated with first class honours in history in 1946. Also in 1946 Alec became an instructor at the Army School of Education following basic training with the Black Watch.
Following two years of national service Alec Cheyne studied at Oriel College Oxford for another two years and graduated BLitt in 1950. That same year he was appointed to a lectureship in history at Glasgow and in 1953 he entered New College as a regular candidate for the ministry of the Church of Scotland. He graduated BD with distinction in Ecclesiastical History in 1956. Following his graduation from New College, Alec Cheyne was granted a post-graduate year on the continent, first at Tubingen to study German, then at Basel to study theology under Karl Bath and Oscar Cullman. He returned to Edinburgh in July of 1957, and from then until February 1958 he travelled around Scotland as a probationer filling preaching vacancies. In 1958 Alec Cheyne answered a call to the new lectureship in Church History at Edinburgh University and returned here in 1958 to begin years of dedication to teaching.
In 1964 Cheyne succeeded Professor Burleigh to the position of Professor of Ecclesiastical History and went on to create a four person department which came to play an integral role in the teaching of history throughout the University. Professor Cheyne also introduced both new courses and new styles of teaching, for example seminars in addition to the traditional lecture. Alec Cheyne served for several years as Chairman of the University History Board and was Principal of the Faculty of Divinity and New College from 1984 to 1986, the year of his retiral.
Professor Cheyne died on March 31st 2006.",Biographical / Historical,4,"{'Gendered-Pronoun', 'Stereotype', 'Unknown', 'Masculine', 'Omission', 'Generalization', 'Gendered-Role', 'Occupation', 'Feminine'}",AA7
5549,"Papers of Rev Prof Alec Campbell Cheyne (1924-2006)

",Title,5,"{'Masculine', 'Unknown'}",AA7
5530,"Papers of John Baillie

",Title,6,{'Unknown'},BAI
7812,"Poems chiefly from lesser authors selected by John Baillie

",Title,7,"{'Occupation', 'Omission', 'Unknown'}",BAI
7811,"Poems by John Baillie

",Title,8,{'Unknown'},BAI
5541,"Papers of Professor John Baillie, and Baillie Family Papers

",Title,9,"{'Omission', 'Unknown'}",BAI
8104,"Quotations from Jacques Chevalier and Lloyd Morgan

",Title,10,{'Unknown'},BAI
5202,"Notebook on Kantian philosophy

",Title,11,{'Stereotype'},BAI
4780,"Locke's Doctrine of Essence

",Title,12,"{'Omission', 'Unknown'}",BAI
1973,"Comparison between Locke, Mill and James

",Title,13,"{'Omission', 'Unknown'}",BAI
5261,"Notes on Barker and Garvie

",Title,14,"{'Omission', 'Unknown'}",BAI
5262,"Notes on Busch

",Title,15,"{'Omission', 'Unknown'}",BAI
5276,"Notes on lectures by Adolf Jülicher

",Title,16,"{'Masculine', 'Unknown'}",BAI
5278,"Notes on lectures by Johann Wilhelm Herrmann

",Title,17,"{'Masculine', 'Unknown'}",BAI
5277,"Notes on lectures by Hermann Cohen

",Title,18,"{'Masculine', 'Unknown'}",BAI
10400,"The Theology of Thomas Aquinas, being an Introductory Essay to the two Summae

",Title,19,"{'Masculine', 'Unknown'}",BAI
8594,"Stout's view of Conation

",Title,20,"{'Omission', 'Unknown'}",BAI
10339,"The Nature of Definition as practised by Socrates

",Title,21,{'Unknown'},BAI
3085,"Hebrew Exegesis: The Vision of Isaiah

",Title,22,{'Unknown'},BAI
10362,"The Relation of Jesus to John the Baptist

",Title,23,{'Unknown'},BAI
10301,"The Figurative Language of Jesus in its significance for the Investigation of Inner Life, by Heinrich Weinel

",Title,24,{'Unknown'},BAI
3490,"Jesus' teaching about the Physical side of our nature

",Title,25,{'Unknown'},BAI
